Name,Power consumption (Wh/km),Battery capacity(kWh),Charging power (kW)
NIO EL7 100 kWh,209,100,11
Genesis GV70 Electrified Sport,211,77.4,11
Mercedes EQE SUV AMG 53 4MATIC+,213,100,22
XPENG G9 AWD Long Range,214,98,11
Ford Mustang Mach-E GT,214,98.7,11
Mercedes EQC 400 4MATIC,216,85,11
BMW iX M60,217,111.5,11
Kia EV9 99.8 kWh RWD,217,105,11
Polestar 3 Long Range Dual motor,218,111,11
Mercedes EQS SUV 450+,219,120,11
Rolls-Royce Spectre,220,100,11
Toyota Proace City Verso Electric L1 50 kWh,220,50,7.4
Kia EV9 99.8 kWh AWD,222,105,11
Jaguar I-Pace EV400,223,90,11
Mercedes EQS SUV 500 4MATIC,224,120,11
Mercedes EQS SUV 450 4MATIC,224,120,11
Mercedes EQS SUV 580 4MATIC,224,120,11
Opel Combo-e Life 50 kWh,226,50,7.4
Citroen e-Berlingo M 50 kWh,226,50,7.4
Peugeot e-Rifter Standard 50 kWh,226,50,7.4
Toyota Proace City Verso Electric L2 50 kWh,226,50,7.4
Polestar 3 Long Range Performance,228,111,11
VinFast VF 9 Standard Range,230,95,11
Opel Combo-e Life XL 50 kWh,232,50,7.4
Citroen e-Berlingo XL 50 kWh,232,50,7.4
Peugeot e-Rifter Long 50 kWh,232,50,7.4
Volkswagen ID. Buzz Pro,233,82,11
Volvo EX90 Twin Motor,235,111,11
VinFast VF 9 Extended Range,237,128,11
Lotus Eletre R,238,112,22
BYD TANG,240,86.4,7.4
Volvo EX90 Twin Motor Performance,243,111,11
Citroen e-Jumpy Combi M 50 kWh,250,50,7.4
Citroen e-SpaceTourer M 50 kWh,250,50,7.4
Opel Vivaro-e Combi M 50 kWh,250,50,7.4
Opel Zafira-e Life M 50 kWh,250,50,7.4
Peugeot e-Expert Combi Standard 50 kWh,250,50,7.4
Peugeot e-Traveller Standard 50 kWh,250,50,7.4
Fiat E-Ulysse L2 50 kWh,250,50,7.4
Hongqi E-HS9 84 kWh,251,84,11
Hongqi E-HS9 99 kWh,254,99,11
Citroen e-Jumpy Combi M 75 kWh,257,75,7.4
Citroen e-SpaceTourer M 75 kWh,257,75,7.4
Opel Vivaro-e Combi M 75 kWh,257,75,7.4
Opel Zafira-e Life M 75 kWh,257,75,7.4
Peugeot e-Expert Combi Standard 75 kWh,257,75,7.4
Peugeot e-Traveller Standard 75 kWh,257,75,7.4
Fiat E-Ulysse L2 75 kWh,257,75,7.4
Toyota PROACE Verso M 75 kWh,257,75,7.4
Citroen e-Jumpy Combi XL 50 kWh,257,50,7.4
Citroen e-SpaceTourer XL 50 kWh,257,50,7.4
Opel Vivaro-e Combi L 50 kWh,257,50,7.4
Opel Zafira-e Life L 50 kWh,257,50,7.4
Peugeot e-Expert Combi Long 50 kWh,257,50,7.4
Peugeot e-Traveller Long 50 kWh,257,50,7.4
Toyota PROACE Shuttle M 50 kWh,257,50,7.4
Toyota PROACE Shuttle L 50 kWh,257,50,7.4
Fiat E-Ulysse L3 50 kWh,257,50,7.4
Citroen e-Jumpy Combi XL 75 kWh,262,75,7.4
Citroen e-SpaceTourer XL 75 kWh,262,75,7.4
Opel Vivaro-e Combi L 75 kWh,262,75,7.4
Opel Zafira-e Life L 75 kWh,262,75,7.4
Peugeot e-Expert Combi Long 75 kWh,262,75,7.4
Peugeot e-Traveller Long 75 kWh,262,75,7.4
Toyota PROACE Shuttle M 75 kWh,262,75,7.4
Toyota PROACE Shuttle L 75 kWh,262,75,7.4
Fiat E-Ulysse L3 75 kWh,262,75,7.4
Toyota PROACE Verso L 75 kWh,262,75,7.4
Mercedes eVito Tourer Long 60 kWh,286,66,11
Mercedes eVito Tourer Long 90 kWh,290,100,11
Mercedes EQV 250 Long,293,66,11
Mercedes EQV 250 Extra-Long,293,66,11
Mercedes eVito Tourer Extra-Long 60 kWh,293,66,11
Mercedes EQV 300 Extra-Long,295,100,11
Mercedes eVito Tourer Extra-Long 90 kWh,295,100,11
Mercedes EQV 300 Long,295,100,11
